CCSR_Code,CCSR_label,proc_cd
EXT012,109,W6101XA
EXT012,109,W6111XA
EXT012,109,W6121XA
EXT012,109,W6151XA
EXT012,109,W6161XA
EXT012,109,W6191XA
EXT013,110,T733XXA
EXT013,110,W1840XA
EXT013,110,W1841XA
EXT013,110,W1842XA
EXT013,110,W1843XA
EXT013,110,W1849XA
EXT013,110,X500XXA
EXT013,110,X501XXA
EXT013,110,X503XXA
EXT013,110,X509XXA
EXT014,111,T360X1A
EXT014,111,T360X2A
EXT014,111,T360X3A
EXT014,111,T360X4A
EXT014,111,T361X1A
EXT014,111,T361X2A
EXT014,111,T361X3A
EXT014,111,T361X4A
EXT014,111,T362X1A
EXT014,111,T362X2A
EXT014,111,T362X3A
EXT014,111,T362X4A
EXT014,111,T363X1A
EXT014,111,T363X2A
EXT014,111,T363X3A
EXT014,111,T363X4A
EXT014,111,T364X1A
EXT014,111,T364X2A
EXT014,111,T364X3A
EXT014,111,T364X4A
EXT014,111,T365X1A
EXT014,111,T365X2A
EXT014,111,T365X3A
EXT014,111,T365X4A
EXT014,111,T366X1A
EXT014,111,T366X2A
EXT014,111,T366X3A
EXT014,111,T366X4A
EXT014,111,T367X1A
EXT014,111,T367X2A
EXT014,111,T367X3A
EXT014,111,T367X4A
EXT014,111,T368X1A
EXT014,111,T368X2A
EXT014,111,T368X3A
EXT014,111,T368X4A
EXT014,111,T3691XA
EXT014,111,T3692XA
EXT014,111,T3693XA
EXT014,111,T3694XA
EXT014,111,T370X1A
EXT014,111,T370X2A
EXT014,111,T370X3A
EXT014,111,T370X4A
EXT014,111,T371X1A
EXT014,111,T371X2A
EXT014,111,T371X3A
EXT014,111,T371X4A
EXT014,111,T372X1A
EXT014,111,T372X2A
EXT014,111,T372X3A
EXT014,111,T372X4A
EXT014,111,T373X1A
EXT014,111,T373X2A
EXT014,111,T373X3A
EXT014,111,T373X4A
EXT014,111,T374X1A
EXT014,111,T374X2A
EXT014,111,T374X3A
EXT014,111,T374X4A
EXT014,111,T375X1A
EXT014,111,T375X2A
EXT014,111,T375X3A
EXT014,111,T375X4A
EXT014,111,T378X1A
EXT014,111,T378X2A
EXT014,111,T378X3A
EXT014,111,T378X4A
EXT014,111,T3791XA
EXT014,111,T3792XA
EXT014,111,T3793XA
EXT014,111,T3794XA
EXT014,111,T380X1A
EXT014,111,T380X2A
EXT014,111,T380X3A
EXT014,111,T380X4A
EXT014,111,T381X1A
EXT014,111,T381X2A
EXT014,111,T381X3A
EXT014,111,T381X4A
EXT014,111,T382X1A
EXT014,111,T382X2A
EXT014,111,T382X3A
EXT014,111,T382X4A
EXT014,111,T383X1A
EXT014,111,T383X2A
EXT014,111,T383X3A
EXT014,111,T383X4A
EXT014,111,T384X1A
EXT014,111,T384X2A
EXT014,111,T384X3A
EXT014,111,T384X4A
EXT014,111,T385X1A
EXT014,111,T385X2A
EXT014,111,T385X3A
EXT014,111,T385X4A
EXT014,111,T386X1A
EXT014,111,T386X2A
EXT014,111,T386X3A
EXT014,111,T386X4A
EXT014,111,T387X1A
EXT014,111,T387X2A
EXT014,111,T387X3A
EXT014,111,T387X4A
EXT014,111,T38801A
EXT014,111,T38802A
EXT014,111,T38803A
EXT014,111,T38804A
EXT014,111,T38811A
EXT014,111,T38812A
EXT014,111,T38813A
EXT014,111,T38814A
EXT014,111,T38891A
EXT014,111,T38892A
EXT014,111,T38893A
EXT014,111,T38894A
EXT014,111,T38901A
EXT014,111,T38902A
EXT014,111,T38903A
EXT014,111,T38904A
EXT014,111,T38991A
EXT014,111,T38992A
EXT014,111,T38993A
EXT014,111,T38994A
EXT014,111,T39011A
EXT014,111,T39012A
EXT014,111,T39013A
EXT014,111,T39014A
EXT014,111,T39091A
EXT014,111,T39092A
EXT014,111,T39093A
EXT014,111,T39094A
EXT014,111,T391X1A
EXT014,111,T391X2A
EXT014,111,T391X3A
EXT014,111,T391X4A
EXT014,111,T392X1A
EXT014,111,T392X2A
EXT014,111,T392X3A
EXT014,111,T392X4A
EXT014,111,T39311A
EXT014,111,T39312A
EXT014,111,T39313A
EXT014,111,T39314A
EXT014,111,T39391A
EXT014,111,T39392A
EXT014,111,T39393A
EXT014,111,T39394A
EXT014,111,T394X1A
EXT014,111,T394X2A
EXT014,111,T394X3A
EXT014,111,T394X4A
EXT014,111,T398X1A
EXT014,111,T398X2A
EXT014,111,T398X3A
EXT014,111,T398X4A
EXT014,111,T3991XA
EXT014,111,T3992XA
EXT014,111,T3993XA
EXT014,111,T3994XA
EXT014,111,T400X1A
EXT014,111,T400X2A
EXT014,111,T400X3A
EXT014,111,T400X4A
EXT014,111,T401X1A
EXT014,111,T401X2A
EXT014,111,T401X3A
EXT014,111,T401X4A
EXT014,111,T402X1A
EXT014,111,T402X2A
EXT014,111,T402X3A
EXT014,111,T402X4A
EXT014,111,T403X1A
EXT014,111,T403X2A
EXT014,111,T403X3A
EXT014,111,T403X4A
EXT014,111,T404X1A
EXT014,111,T404X2A
EXT014,111,T404X3A
EXT014,111,T404X4A
EXT014,111,T405X1A
EXT014,111,T405X2A
EXT014,111,T405X3A
EXT014,111,T405X4A
EXT014,111,T40601A
EXT014,111,T40602A
EXT014,111,T40603A
EXT014,111,T40604A
EXT014,111,T40691A
EXT014,111,T40692A
EXT014,111,T40693A
EXT014,111,T40694A
EXT014,111,T407X1A
EXT014,111,T407X2A
EXT014,111,T407X3A
EXT014,111,T407X4A
EXT014,111,T408X1A
EXT014,111,T408X2A
EXT014,111,T408X3A
EXT014,111,T408X4A
EXT014,111,T40901A
EXT014,111,T40902A
EXT014,111,T40903A
EXT014,111,T40904A
EXT014,111,T40991A
EXT014,111,T40992A
EXT014,111,T40993A
EXT014,111,T40994A
